g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637129947,3,1000,973,19,1,final_v2@600,1093,2395,2,final_v3@600,688,1532.072021484375,3,final_v4@600,1093,2231,4,local@600,1093,2833
1637130447,4,1000,429,21,1,final_v2@600,1112,2257,2,final_v3@600,1112,2433,3,final_v4@600,1112,2465,4,local@600,1112,2649
1637130986,8,1200,574,21,1,final_v2@600,1312,2577,2,final_v3@600,1312,2681,3,final_v4@600,1312,2685,4,local@600,1312,2673
1637131545,8,1200,79,21,1,final_v2@600,1312,2468,2,final_v3@600,1312,2372,3,final_v4@600,1312,2456,4,local@600,1312,2376
1637132115,6,900,737,21,1,final_v2@600,393,1402.8800048828125,2,final_v3@600,463,1936.0799560546875,3,final_v4@600,240,956.4000244140625,4,local@600,9999,1820
1637132366,9,1000,326,21,1,final_v2@600,1111,1952,2,final_v3@600,1112,1904,3,final_v4@600,1112,2006,4,local@600,1112,2178
1637129952,4,1000,326,21,1,final_v2@600,1110,2538,2,final_v3@600,1112,2386,3,final_v4@600,1112,2338,4,local@600,1111,2594
1637130507,10,800,427,15,1,final_v2@600,859,2036,2,final_v3@600,859,1732,3,final_v4@600,859,1784,4,local@600,859,1956
1637130902,5,850,116,17,1,final_v2@600,924,1656,2,final_v3@600,317,821.7035522460938,3,final_v4@600,924,1224,4,local@600,222,469.6094055175781
1637131315,10,800,142,15,1,final_v2@600,858,1682,2,final_v3@600,859,1856,3,final_v4@600,859,1910,4,local@600,859,2016
1637131710,8,1200,886,21,1,final_v2@600,410,745.2000122070312,2,final_v3@600,1312,2556,3,final_v4@600,1312,2370,4,local@600,1312,2322
1637129981,7,800,8,21,1,final_v2@600,912,2467,2,final_v3@600,912,2731,3,final_v4@600,912,2767,4,local@600,405,1599.9000244140625
1637130446,8,1200,923,21,1,final_v2@600,1312,2700,2,final_v3@600,1312,2628,3,final_v4@600,1312,2730,4,local@600,1312,2814
1637131009,7,800,418,21,1,final_v2@600,911,2410,2,final_v3@600,911,2516,3,final_v4@600,912,2414,4,local@600,912,2440
1637131495,3,1000,512,19,1,final_v2@600,1093,2656,2,final_v3@600,1093,2584,3,final_v4@600,1093,2404,4,local@600,1093,2556
1637132022,7,800,655,21,1,final_v2@600,911,1850,2,final_v3@600,912,2476,3,final_v4@600,912,2600,4,local@600,912,2678
